overall,price,name,power,control,rebound,omgang,sweetspot
85,120,Technical Veron,89,86,86,76,86
85,135,Hurricane Pro 2.0,86,84,86,80,89
85,145,Elite Francia Limited Edition,78,79,95,86,86
85,180,Elite Woman,85,81,89,85,86
85,,Elite Woman 2025 Gemma Triay,80,78,95,86,87
85,135,Flow,62,79,100,99,87
85,130,Hack 03 CTR,79,100,74,89,85
85,176,Neuron,74,85,92,85,91
85,290,Neuron 2025 Fede Chingotto,79,93,78,86,90
85,,Axion Attack 1.0 2025 Jon Sanz,91,85,78,89,81
85,240,Canyon Pro 2.0,95,90,84,73,82
85,,Canyon Pro Control,69,91,81,92,91
85,90,Canyon Soft,87,86,95,75,80
85,135,Conqueror 10,95,88,75,81,85
85,,Legend 4.0,72,90,87,85,91
85,,X-Drive,69,92,86,85,91
85,,Galactica,74,90,77,91,91
85,105,Aerox Carbon,81,87,85,88,85
85,65,Aerox Carbon,74,84,86,92,91
85,85,Combat Carbon 9.1,80,91,82,86,86
85,,Response,92,80,94,74,87
85,,Response,91,78,91,79,87
85,143,RSX Carbon,86,92,81,79,85
85,120,Supra 3K,86,91,82,81,87
85,80,Supra Carbon,80,87,86,85,87
85,,Coello Motion,88,94,75,87,80
85,,Coello Team,89,93,82,81,82
85,146,Extreme Elite,87,95,83,81,79
85,180,Extreme Motion,84,95,79,87,78
85,89,Graphene 360 Alpha Motion,78,87,90,90,81
85,146,Radical Motion,75,89,79,88,92
85,139,Speed Motion,73,86,89,91,84
85,,Speed One X,89,88,74,91,82
85,150,Gold Pro Amarillo,95,86,83,79,82
85,200,Gold Pro Rojo,96,84,85,78,80
85,,Pro Tournament 2.0 Azul-Rojo,81,89,86,84,83
85,200,Tournament Pro,82,91,86,84,84
85,,Tournament Pro Amarillo,81,91,86,84,83
85,,Tournament Pro Rojo,81,89,85,87,85
85,150,LS Pro,87,89,80,81,87
85,140,Maxx Flow,85,90,77,83,92
85,,AT10 Genius Attack 12K Alum,99,90,75,81,79
85,129,AT10 Luxury Genius Attack 18K,95,88,79,81,83
85,158,MJ10 Luxury,75,80,97,83,91
85,138,ML10 Luxury Bahia,79,85,90,86,87
85,120,ML10 Luxury Shotgun 18K,90,84,83,82,86
85,139,ML10 Luxury Shotgun,95,85,79,81,86
85,120,ML10 Luxury Shotgun,96,84,79,81,84
85,,ML10 Pro Cup,78,90,86,84,88
85,140,ML10 Pro Cup LTD Limited Edition,85,89,80,84,88
85,180,ML10 Pro Cup Luxury,87,96,75,85,84
85,139,ML10 Pro Cup Luxury,84,93,80,84,86
85,95,ML10 Pro Cup Silver,69,89,91,84,92
85,180,ML10 Quantum 3K 2025 Miguel Lamperti,81,91,86,84,85
85,110,Tempo World Padel Tour,68,86,97,87,89
85,99,Tempo World Padel Tour,75,84,88,87,90
85,190,VK10 Quantum 3K 2025 Aranzazu Osoro,77,89,85,90,85
85,160,Ibera,79,84,91,86,83
85,150,Myrtea Excellence Blue Sea,85,85,87,83,84
85,150,Myrtea Excellence Earth Green,85,85,85,84,84
85,75,Hyper Match,82,83,86,80,92
85,,Pure Tour,70,85,87,84,97
85,120,Sense Tour,71,86,84,86,97
85,238,Ultimate Pro,94,89,79,77,86
85,,Ultimate Pro Plus Classics Series,100,94,75,73,85
85,125,Solar Attack II CTR,82,89,86,84,84
85,185,RP 32 Aniversario Hybrid,80,94,76,86,89
85,,RP 33 Aniversario,76,89,86,85,87
85,,RP 33 Aniversario Hybrid,82,96,74,85,89
85,,RP 33 Aniversario Woman,71,92,85,91,86
85,,RP 790 Whip Hybrid,66,92,81,95,90
85,,RP M27 Polietileno LTD,69,95,90,83,89
85,190,RP M27 R-Control,80,97,75,83,88
85,190,RP M27 R-Control X,73,95,84,83,89
85,,RP M27 R Line Control,81,97,74,83,90
85,,Diablo Black,78,90,88,81,86
85,,Diablo Fucsia 3.0,81,83,86,90,84
85,,Diablo Grafeno Azul,84,91,79,85,84
85,,Diablo Luxury 1K,90,91,74,85,86
85,149,Diablo Revolution II AIR,70,78,93,97,85
85,159,Diablo Revolution Sanyo Pro 3,81,84,94,84,84
85,295,Electra PRO ST3,89,94,78,86,80
85,169,Electra ST1 Stupa,83,92,91,85,75
85,139,Electra ST2 Stupa Pro,92,90,85,86,73
85,140,Fenix 3K,87,84,84,85,85
85,130,Fenix II,96,85,75,85,84
85,85,Pegasus 1K Limited Edition,82,88,89,83,85
85,,Pegasus Grafeno 1K Lady,79,88,84,84,89
85,150,Pegasus Grafeno 1K,84,89,84,84,83
85,,Pegasus Revolution 12K,76,79,94,89,85
85,160,Pegasus Revolution 2,91,93,75,83,83
85,,Platinum Revolution,73,79,98,90,84
85,,SG Black Limited Edition,80,85,93,83,85
85,,Spartan Revolution,85,89,85,85,81
85,,Spyder Revolution 2 Control,71,84,96,85,89
85,,Spyder Revolution,96,80,85,84,79
85,170,Trilogy 3 Control,74,91,82,91,89
85,295,Trilogy 4 Pro,76,89,80,88,90
85,,Trilogy Hybrid Black,84,81,87,86,86
85,140,Trilogy II Control 24K Patty Llaguno,72,83,89,90,91
85,268,Ultra Pro,81,83,89,85,85
85,80,Aquila Blue Tour Edition,77,81,90,86,89
85,159,Astrum Soft,74,80,97,80,94
85,80,Basalto Osiris 2.0 Pro,93,88,77,80,89
85,154,Basalto Soft,86,84,86,79,91
85,189,Drax Soft,81,84,96,78,85
85,63,Dronos Galaxy Speed 2.0,79,79,95,82,89
85,90,Dronos Speed,79,81,96,80,91
85,223,Kenta,79,90,80,86,90
85,223,Kenta Soft,76,89,84,88,90
85,159,Metheora Pro Touch,74,89,86,81,96
85,156,Raptor Soft,72,84,96,81,92
85,280,Triton Pro,100,95,71,77,80
85,260,Bourne Summum Airflow MY S,90,84,85,85,81
85,220,Bourne Summum Prisma Airflow S,90,84,85,85,79
85,,Bourne Summum Prisma Radio S,96,87,85,82,76
85,260,Bourne Summum Prisma Radio W,99,89,79,81,76
85,,Bourne Summum Prisma S,99,89,74,81,80
85,,LW Carbon 8 Prisma Pansy,71,80,85,91,100
85,156,LW Prisma Carbon 9,71,79,85,89,100
85,180,LW Prisma Carbon 9 Pansy,66,79,85,94,100
85,235,LW Summum Prisma Airflow S,74,89,73,95,95
85,235,LW Summum Prisma Airflow W,68,84,86,94,94
85,,Maxima Summum Prisma Radio S,96,89,73,86,81
85,110,Bamboo Liquid Edition,66,87,97,90,86
85,85,Black Mamba Classic Edition,70,90,95,85,84
85,100,Black Mamba Liquid Edition,74,87,95,83,84
85,184,Black Mamba Liquid Edition,74,84,95,86,85
85,285,King Cobra Elite 24K,91,81,89,78,87
85,145,King Cobra Liquid Edition,94,78,85,85,82
85,150,King Cobra Liquid Edition,95,79,87,84,82
85,450,Titan,94,83,85,78,84
85,228,Yarara Classic Edition,88,96,73,83,85
85,100,Yarara Edition Black Series 1K,84,95,73,86,85
85,110,Yarara Liquid Edition,85,95,74,84,85
85,350,Yarara Radical 12K,83,86,78,86,92
85,238,Bela Elite V2,78,89,83,86,88
85,,Bela LT Rosa,78,89,84,89,85
85,79,Bela Team,74,85,92,86,86
85,70,Blade Elite V2,70,84,89,91,90
85,160,Blade Pro V2 Oro,79,89,84,83,91
85,180,Blade Tour V2,85,93,74,84,90
85,,Brito Blade Elite Multicolor,71,85,91,87,90
85,,Cupra LT V2,54,94,80,99,96
85,,Defy LS V1,80,89,84,85,85
85,,Defy V1,84,90,83,81,85
85,147,Pro Staff Elite V2,60,90,86,93,94
85,130,Pro Staff LT V2,55,96,78,100,94
85,150,Pro Staff Tour V2,77,100,68,88,94
85,74,Ultra Elite V2,65,86,89,96,91
84,,Adipower Carbon CTRL 3.4,69,90,80,90,91
84,,Adipower Carbon Light 3.4,64,89,81,95,89
84,135,Adipower CTRL 3.3,71,89,79,90,90
84,,Cross It Carbon CTRL 3.4,71,82,91,90,86
84,175,Metalbone Carbon,84,82,95,79,80
84,130,Metalbone Carbon 3.3,86,80,94,81,78
84,,Metalbone Carbon 3.4,84,81,97,79,78
84,150,Andromeda A22 RC,65,84,89,91,90
84,,Atlas Edition A22 RC,71,91,79,89,89
84,,Vega A22 RC,96,90,75,79,78
84,130,Technical Veron,91,86,83,73,87
84,165,Technical Veron,89,83,87,76,83
84,,Technical Veron,88,86,85,73,87
84,156,Technical Veron Juan Lebron,89,85,83,76,87
84,,Technical Veron Juan Lebron,89,86,86,76,85
84,88,Hurricane,76,85,89,80,90
84,134,Piton,83,92,77,81,85
84,125,Piton Attack 12K Plus,81,83,92,82,82
84,150,Piton Attack 15K Power,86,87,90,78,78
84,135,Piton Attack 16K,80,84,94,80,80
84,60,Piton Nakano 15K,80,86,83,82,88
84,190,Special 16K,91,84,87,76,81
84,195,Elite Woman,79,78,93,87,84
84,,Flow Brussels Limited Edition,87,81,94,80,79
84,100,Flow Woman,87,79,95,81,79
84,160,Flow Woman,75,80,95,86,85
